file,line,original_excerpt,replacement,confidence
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,154,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,154,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,154,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,156,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,156,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,156,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,159,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,159,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,159,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,160,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,186,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,186,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,227,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,71,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,79,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,115,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,147,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,149,You will,You,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,156,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,184,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,184,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,200,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,200,will be created,is created,rerun
