nav_title,current_path,proposed_section,proposed_path,change_type,annotation,status
Editor blocks,_docs/_user_guide/engagement_tools/messaging_fundamentals/drag_and_drop_editor_blocks.md,Messaging > Messaging fundamentals > Editor blocks,_docs/_user_guide/messaging/messaging_fundamentals/editor_blocks.md,moved,,
Frequency capping,_docs/_user_guide/engagement_tools/campaigns/building_campaigns/rate-limiting.md,Messaging > Messaging fundamentals > Frequency capping,_docs/_user_guide/messaging/messaging_fundamentals/frequency_capping.md,moved,,
Know before you send,_docs/_user_guide/engagement_tools/messaging_fundamentals/know_before_send.md,Messaging > Messaging fundamentals > Know before you send,_docs/_user_guide/messaging/messaging_fundamentals/know_before_you_send.md,moved,,
Localization,_docs/_user_guide/engagement_tools/messaging_fundamentals/localization.md,Messaging > Messaging fundamentals > Localization,_docs/_user_guide/messaging/messaging_fundamentals/localization.md,moved,,
Locales in messages,_docs/_user_guide/engagement_tools/messaging_fundamentals/localization/locales.md,Messaging > Messaging fundamentals > Localization > Locales in messages,_docs/_user_guide/messaging/messaging_fundamentals/localization/locales_in_messages.md,moved,,
Right-to-left messages,_docs/_user_guide/engagement_tools/messaging_fundamentals/localization/right_to_left_messages.md,Messaging > Messaging fundamentals > Localization > Right-to-left messages,_docs/_user_guide/messaging/messaging_fundamentals/localization/righttoleft_messages.md,moved,,
Priority sorter,,Messaging > Messaging fundamentals > Priority sorter,_docs/_user_guide/messaging/messaging_fundamentals/priority_sorter.md,new,new article,
Product blocks,_docs/_user_guide/engagement_tools/messaging_fundamentals/product_blocks.md,Messaging > Messaging fundamentals > Product blocks,_docs/_user_guide/messaging/messaging_fundamentals/product_blocks.md,moved,,
Rate limiting,_docs/_user_guide/engagement_tools/canvas/create_a_canvas/rate_limiting.md,Messaging > Messaging fundamentals > Rate limiting,_docs/_user_guide/messaging/messaging_fundamentals/rate_limiting.md,moved,,
Re-eligibility,_docs/_user_guide/engagement_tools/messaging_fundamentals/reeligibility.md,Messaging > Messaging fundamentals > Re-eligibility,_docs/_user_guide/messaging/messaging_fundamentals/reeligibility.md,moved,,
Statuses,_docs/_user_guide/engagement_tools/messaging_fundamentals/about_statuses.md,Messaging > Messaging fundamentals > Statuses,_docs/_user_guide/messaging/messaging_fundamentals/statuses.md,moved,,
Target users,_docs/_user_guide/engagement_tools/messaging_fundamentals/targeting_users.md,Messaging > Messaging fundamentals > Target users,_docs/_user_guide/messaging/messaging_fundamentals/target_users.md,moved,,
Canvas,_docs/_user_guide/engagement_tools/canvas.md,Messaging > Canvas,_docs/_user_guide/messaging/canvas.md,moved,no changes,
Campaigns,_docs/_user_guide/engagement_tools/campaigns.md,Messaging > Campaigns,_docs/_user_guide/messaging/campaigns.md,updated,rewrite landing page,
Campaign basics,_docs/_user_guide/engagement_tools/campaigns/getting_started/campaign_basics.md,Messaging > Campaigns > Campaign basics,_docs/_user_guide/messaging/campaigns/campaign_basics.md,moved,,
Schedule your campaign,_docs/_user_guide/engagement_tools/campaigns/building_campaigns/delivery_types.md,Messaging > Campaigns > Schedule your campaign,_docs/_user_guide/messaging/campaigns/schedule_your_campaign.md,moved,should include links to rate limiting and frequency capping,
Manage campaigns,_docs/_user_guide/engagement_tools/campaigns/managing_campaigns.md,Messaging > Campaigns > Manage campaigns,_docs/_user_guide/messaging/campaigns/manage_campaigns.md,moved,,
Test campaigns,_docs/_user_guide/engagement_tools/campaigns/testing_and_more.md,Messaging > Campaigns > Test campaigns,_docs/_user_guide/messaging/campaigns/test_campaigns.md,moved,,
Ideas and strategies,_docs/_user_guide/engagement_tools/campaigns/ideas_and_strategies.md,Messaging > Campaigns > Ideas and strategies,_docs/_user_guide/messaging/campaigns/ideas_and_strategies.md,moved,,
FAQ,_docs/_user_guide/engagement_tools/campaigns/faq.md,Messaging > Campaigns > FAQ,_docs/_user_guide/messaging/campaigns/faq.md,moved,,
Landing pages,_docs/_user_guide/engagement_tools/landing_pages.md,Messaging > Landing pages,_docs/_user_guide/messaging/landing_pages.md,moved,,
Create landing pages,_docs/_user_guide/engagement_tools/landing_pages/creating_pages.md,Messaging > Landing pages > Create landing pages,_docs/_user_guide/messaging/landing_pages/create_landing_pages.md,moved,,
Customize the URL,_docs/_user_guide/engagement_tools/landing_pages/customizing_urls.md,Messaging > Landing pages > Customize the URL,_docs/_user_guide/messaging/landing_pages/customize_the_url.md,moved,,
Tracking users,_docs/_user_guide/engagement_tools/landing_pages/tracking_users.md,Messaging > Landing pages > Tracking users,_docs/_user_guide/messaging/landing_pages/tracking_users.md,moved,,
Retargeting users,_docs/_user_guide/engagement_tools/landing_pages/retargeting.md,Messaging > Landing pages > Retargeting users,_docs/_user_guide/messaging/landing_pages/retargeting_users.md,moved,,
Personalize landing pages,_docs/_user_guide/engagement_tools/landing_pages/personalizing_pages.md,Messaging > Landing pages > Personalize landing pages,_docs/_user_guide/messaging/landing_pages/personalize_landing_pages.md,moved,,
About tracking data,_docs/_user_guide/engagement_tools/landing_pages/about_tracking_data.md,Messaging > Landing pages > About tracking data,_docs/_user_guide/messaging/landing_pages/about_tracking_data.md,moved,,
Feature flags,_docs/_user_guide/engagement_tools/canvas/canvas_components/feature_flags.md,Messaging > Feature flags,_docs/_user_guide/messaging/feature_flags.md,moved,,
Create feature flags,_docs/_user_guide/engagement_tools/feature_flags/create.md,Messaging > Feature flags > Create feature flags,_docs/_user_guide/messaging/feature_flags/create_feature_flags.md,moved,,
Feature flags in Canvas,_docs/_user_guide/engagement_tools/feature_flags/canvas.md,Messaging > Feature flags > Feature flags in Canvas,_docs/_user_guide/messaging/feature_flags/feature_flags_in_canvas.md,moved,,
Feature flag experiments,_docs/_user_guide/engagement_tools/feature_flags/experiments.md,Messaging > Feature flags > Feature flag experiments,_docs/_user_guide/messaging/feature_flags/feature_flag_experiments.md,moved,,
FAQ,_docs/_user_guide/engagement_tools/feature_flags/faq.md,Messaging > Feature flags > FAQ,_docs/_user_guide/messaging/feature_flags/faq.md,moved,,
A/B testing,_docs/_user_guide/message_building_by_channel/banners/testing.md,Messaging > A/B testing,_docs/_user_guide/messaging/ab_testing.md,moved,,
Random bucket numbers,_docs/_user_guide/engagement_tools/testing/random_bucket_numbers.md,Messaging > A/B testing > Concepts > Random bucket numbers,_docs/_user_guide/messaging/ab_testing/concepts/random_bucket_numbers.md,moved,,
Conversion correlation,_docs/_user_guide/engagement_tools/testing/conversion_correlation.md,Messaging > A/B testing > Concepts > Conversion correlation,_docs/_user_guide/messaging/ab_testing/concepts/conversion_correlation.md,moved,,
Race conditions,_docs/_user_guide/engagement_tools/testing/race_conditions.md,Messaging > A/B testing > Concepts > Race conditions,_docs/_user_guide/messaging/ab_testing/concepts/race_conditions.md,moved,,
Create tests,_docs/_user_guide/engagement_tools/testing/multivariant_testing/create_multivariate_campaign.md,Messaging > A/B testing > Create tests,_docs/_user_guide/messaging/ab_testing/create_tests.md,moved,,
Optimizations,_docs/_user_guide/engagement_tools/testing/multivariant_testing/optimizations.md,Messaging > A/B testing > Optimizations,_docs/_user_guide/messaging/ab_testing/optimizations.md,moved,,
Analytics,_docs/_user_guide/engagement_tools/testing/multivariant_testing/multivariate_analytics.md,Messaging > A/B testing > Analytics,_docs/_user_guide/messaging/ab_testing/analytics.md,moved,,
FAQ,_docs/_user_guide/engagement_tools/testing/multivariant_testing/faq.md,Messaging > A/B testing > FAQ,_docs/_user_guide/messaging/ab_testing/faq.md,moved,,
Reusable content,,Messaging > Reusable content,_docs/_user_guide/messaging/reusable_content.md,new,new landing page,
Content Blocks,_docs/_user_guide/message_building_by_channel/email/drag_and_drop/dnd_content_blocks.md,Messaging > Reusable content > Content Blocks,_docs/_user_guide/messaging/reusable_content/content_blocks.md,moved,,
Product Blocks,_docs/_user_guide/data/activation/catalogs/product_blocks.md,Messaging > Reusable content > Product Blocks,_docs/_user_guide/messaging/reusable_content/product_blocks.md,moved,,
Design and edit,,Messaging > Design and edit,_docs/_user_guide/messaging/design_and_edit.md,new,new landing page,
Drag-and-drop editor,,Messaging > Design and edit > Drag-and-drop editor,_docs/_user_guide/messaging/design_and_edit/draganddrop_editor.md,new,new article,
Email drag-and-drop editor,,Messaging > Design and edit > Email drag-and-drop editor,_docs/_user_guide/messaging/design_and_edit/email_draganddrop_editor.md,new,new article,
Email HTML editor,,Messaging > Design and edit > Email HTML editor,_docs/_user_guide/messaging/design_and_edit/email_html_editor.md,new,new article,
Traditional composers,,Messaging > Design and edit > Traditional composers,_docs/_user_guide/messaging/design_and_edit/traditional_composers.md,new,new article,
Image specifications,_docs/_user_guide/engagement_tools/templates_and_media/image_specs.md,Messaging > Design and edit > Image specifications,_docs/_user_guide/messaging/design_and_edit/image_specifications.md,moved,,
Media library,_docs/_user_guide/engagement_tools/templates_and_media/media_library.md,Messaging > Media library,_docs/_user_guide/messaging/media_library.md,merged,Remove image specs section and add to a dedicated article. Fold in FAQ content,
Templates,_docs/_user_guide/message_building_by_channel/email/templates.md,Messaging > Templates,_docs/_user_guide/messaging/templates.md,moved,,
Canvas templates,_docs/_user_guide/engagement_tools/canvas/create_a_canvas/canvas_templates/templates.md,Messaging > Templates > Canvas templates,_docs/_user_guide/messaging/templates/canvas_templates.md,moved,,
Email templates,_docs/_user_guide/engagement_tools/templates_and_media/managing_templates.md,Messaging > Templates > Email templates,_docs/_user_guide/messaging/templates/email_templates.md,moved,,
