current_path,nav_title,article_title,page_order,depth,parent_section,hidden,config_only
_docs/_user_guide/message_building_by_channel/in-app_messages/ios_app_rating_prompt.md,In-app rating prompt for iOS,In-app rating prompt for iOS,6.0,2,message_building_by_channel/in-app_messages,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/reporting.md,Reporting,In-App Message Reporting,5.0,2,message_building_by_channel/in-app_messages,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/testing.md,Testing,Testing,4.5,2,message_building_by_channel/in-app_messages,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/traditional.md,Traditional editor,Traditional Editor for In-App Messages,3.0,2,message_building_by_channel/in-app_messages,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/create.md,Create an in-app message,Create an In-App Message,1.0,3,message_building_by_channel/in-app_messages/traditional,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize.md,Customize,Custom In-App Messages,2.0,3,message_building_by_channel/in-app_messages/traditional,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize/color_profiles_and_css.md,Color profiles and CSS templates,Color Profiles and CSS Templates for In-App Messages,4.0,4,message_building_by_channel/in-app_messages/traditional/customize,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize/email_capture_form.md,Email capture form,Email Capture Form,3.0,4,message_building_by_channel/in-app_messages/traditional/customize,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize/html_in-app_messages.md,HTML in-app messages,Custom HTML In-App Messages,0.0,4,message_building_by_channel/in-app_messages/traditional/customize,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize/video.md,Video,Video in In-App Messages,4.0,4,message_building_by_channel/in-app_messages/traditional/customize,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/dark-mode.md,Dark mode themes,Dark Mode for In-App Messages,5.0,3,message_building_by_channel/in-app_messages/traditional,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/templates.md,Templates,Templates,3.0,3,message_building_by_channel/in-app_messages/traditional,False,True
_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/templates/simple_survey.md,Simple survey,Simple Survey In-App Message,1.5,4,message_building_by_channel/in-app_messages/traditional/templates,False,False
_docs/_user_guide/message_building_by_channel/line.md,LINE,LINE,3.0,1,message_building_by_channel,False,False
_docs/_user_guide/message_building_by_channel/line/create.md,Create a LINE message,Create a LINE Message,1.0,2,message_building_by_channel/line,False,False
_docs/_user_guide/message_building_by_channel/line/create/line_click_tracking.md,LINE click tracking,LINE Click Tracking,2.0,3,message_building_by_channel/line/create,False,False
_docs/_user_guide/message_building_by_channel/line/create/message_types.md,Message types,LINE Message Types,0.0,3,message_building_by_channel/line/create,False,False
_docs/_user_guide/message_building_by_channel/line/line_setup.md,LINE setup,LINE Setup,0.0,2,message_building_by_channel/line,False,False
_docs/_user_guide/message_building_by_channel/line/line_users.md,LINE users,LINE users,4.0,2,message_building_by_channel/line,False,True
_docs/_user_guide/message_building_by_channel/line/line_users/subscription_groups.md,Subscription groups,Subscription Groups,1.0,3,message_building_by_channel/line/line_users,False,False
_docs/_user_guide/message_building_by_channel/line/line_users/user_management.md,User management,LINE User Management,0.0,3,message_building_by_channel/line/line_users,False,False
_docs/_user_guide/message_building_by_channel/line/messaging_users.md,Messaging users,Message LINE Users,2.0,2,message_building_by_channel/line,False,False
_docs/_user_guide/message_building_by_channel/line/reporting.md,Reporting,LINE Reporting,4.0,2,message_building_by_channel/line,False,False
_docs/_user_guide/message_building_by_channel/line/testing.md,Testing,Testing,5.0,2,message_building_by_channel/line,False,False
_docs/_user_guide/message_building_by_channel/push.md,Push,Push,4.0,1,message_building_by_channel,False,False
_docs/_user_guide/message_building_by_channel/push/advanced_push_options.md,Advanced push options,Advanced Push Options,5.0,2,message_building_by_channel/push,False,False
_docs/_user_guide/message_building_by_channel/push/advanced_push_options/push_action_buttons.md,Push action buttons,Push Action Buttons,1.0,3,message_building_by_channel/push/advanced_push_options,False,False
_docs/_user_guide/message_building_by_channel/push/advanced_push_options/push_stories.md,Push stories,Push Stories,2.0,3,message_building_by_channel/push/advanced_push_options,False,False
_docs/_user_guide/message_building_by_channel/push/android.md,Android options,Android Push Options,7.0,2,message_building_by_channel/push,False,False
_docs/_user_guide/message_building_by_channel/push/android/advanced_campaign_settings.md,Advanced push campaign settings,Advanced Push Campaign Settings,5.0,3,message_building_by_channel/push/android,False,False
_docs/_user_guide/message_building_by_channel/push/android/notification_channels.md,Notification channels,Push Notification Channels,4.0,3,message_building_by_channel/push/android,False,False
_docs/_user_guide/message_building_by_channel/push/android/notification_options.md,Notification options,Android Notification Options,2.0,3,message_building_by_channel/push/android,False,False
_docs/_user_guide/message_building_by_channel/push/android/push_max.md,Push Max,Push Max,999.0,3,message_building_by_channel/push/android,False,False
_docs/_user_guide/message_building_by_channel/push/android/rich_notifications.md,Create rich notifications,Creating rich push notifications for Android,3.0,3,message_building_by_channel/push/android,False,False
_docs/_user_guide/message_building_by_channel/push/best_practices.md,Best practices,Push Best Practices,20.0,2,message_building_by_channel/push,False,False
_docs/_user_guide/message_building_by_channel/push/best_practices/chinese_push_deliverability.md,Deliverability for Chinese Android devices,Push deliverability for Chinese Android Devices,10.0,3,message_building_by_channel/push/best_practices,False,False
_docs/_user_guide/message_building_by_channel/push/best_practices/know_before_send.md,Know before you send,Know before you send,999.0,3,message_building_by_channel/push/best_practices,False,False
_docs/_user_guide/message_building_by_channel/push/best_practices/message_format.md,Message formats,Push Message and Image Formats,5.0,3,message_building_by_channel/push/best_practices,False,False
_docs/_user_guide/message_building_by_channel/push/best_practices/push_primer_messages.md,Push primer in-app messages,Push Primer In-App Messages,1.0,3,message_building_by_channel/push/best_practices,False,False
_docs/_user_guide/message_building_by_channel/push/creating_a_push_message.md,Create a push message,Create a Push Campaign,4.0,2,message_building_by_channel/push,False,False
_docs/_user_guide/message_building_by_channel/push/creating_a_push_message/quick_push.md,Quick push messages,Quick Push Messages,999.0,3,message_building_by_channel/push/creating_a_push_message,False,False
